127.0.0.1 - - [15/Sep/2018:23:14:57 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:14:58 +0900] "GET /myecsite2/ HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:15:06 +0900] "POST /myecsite2/HomeAction.action;jsessionid=5E6A9A3A4055A697F20FBFACB85CD76E HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:15:31 +0900] "POST /myecsite2/LoginAction.action HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:15:33 +0900] "POST /myecsite2/BuyItemAction.action HTTP/1.1" 200 9297
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:15:37 +0900] "POST /myecsite2/BuyItemAction.action HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:15:38 +0900] "POST /myecsite2/BuyItemCompleteAction.action HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:15:46 +0900] "GET /myecsite2/MyPageAction.action HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:15:54 +0900] "GET /myecsite2/GoHomeAction.action HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:15:55 +0900] "POST /myecsite2/HomeAction.action HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:15:56 +0900] "POST /myecsite2/BuyItemAction.action HTTP/1.1" 200 9297
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:16:00 +0900] "POST /myecsite2/BuyItemAction.action HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:16:06 +0900] "POST /myecsite2/BuyItemCompleteAction.action HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:17:18 +0900] "GET /myecsite2/ HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:17:20 +0900] "POST /myecsite2/HomeAction.action HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:17:24 +0900] "POST /myecsite2/BuyItemAction.action HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:17:25 +0900] "POST /myecsite2/BuyItemCompleteAction.action HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [15/Sep/2018:23:20:01 +0900] "POST /myecsite2/BuyItemAction.action HTTP/1.1" 200 1058
